SECID,TRADEDATE,OPEN,LOW,HIGH,CLOSE,VOLUME
MXM6,2026-04-22 20:28:00,280050.0,279975.0,280050.0,279975.0,98.0
MXM6,2026-04-22 20:29:00,279975.0,279975.0,279975.0,279975.0,3.0
MXM6,2026-04-22 20:31:00,280000.0,279975.0,280000.0,280000.0,29.0
MXM6,2026-04-22 20:32:00,279975.0,279975.0,279975.0,279975.0,3.0
MXM6,2026-04-22 20:33:00,280000.0,280000.0,280050.0,280025.0,71.0
MXM6,2026-04-22 20:34:00,280000.0,280000.0,280025.0,280025.0,3.0
MXM6,2026-04-22 20:35:00,280050.0,280000.0,280075.0,280000.0,16.0
MXM6,2026-04-22 20:36:00,279975.0,279925.0,279975.0,279975.0,94.0
MXM6,2026-04-22 20:37:00,280000.0,280000.0,280025.0,280000.0,11.0
MXM6,2026-04-22 20:38:00,280000.0,279925.0,280050.0,280050.0,78.0
MXM6,2026-04-22 20:39:00,280000.0,280000.0,280000.0,280000.0,2.0
MXM6,2026-04-22 20:40:00,280000.0,280000.0,280000.0,280000.0,3.0
MXM6,2026-04-22 20:41:00,280000.0,280000.0,280000.0,280000.0,3.0
RIM6,2026-04-22 19:29:00,116360.0,116320.0,116380.0,116320.0,50.0
RIM6,2026-04-22 19:30:00,116320.0,116300.0,116360.0,116360.0,49.0
RIM6,2026-04-22 19:31:00,116350.0,116350.0,116370.0,116370.0,8.0
RIM6,2026-04-22 19:32:00,116350.0,116350.0,116390.0,116380.0,7.0
RIM6,2026-04-22 19:34:00,116390.0,116390.0,116400.0,116400.0,2.0
RIM6,2026-04-22 19:35:00,116390.0,116390.0,116440.0,116440.0,28.0
RIM6,2026-04-22 19:36:00,116450.0,116440.0,116460.0,116440.0,57.0
RIM6,2026-04-22 19:37:00,116440.0,116440.0,116500.0,116460.0,251.0
RIM6,2026-04-22 19:38:00,116470.0,116440.0,116470.0,116440.0,16.0
RIM6,2026-04-22 19:39:00,116430.0,116420.0,116430.0,116420.0,6.0
RIM6,2026-04-22 19:42:00,116400.0,116400.0,116480.0,116460.0,105.0
RIM6,2026-04-22 19:43:00,116470.0,116450.0,116490.0,116460.0,14.0
RIM6,2026-04-22 19:44:00,116470.0,116430.0,116470.0,116430.0,14.0
RIM6,2026-04-22 19:45:00,116440.0,116390.0,116470.0,116390.0,92.0
RIM6,2026-04-22 19:46:00,116400.0,116370.0,116400.0,116370.0,9.0
RIM6,2026-04-22 19:47:00,116390.0,116330.0,116390.0,116340.0,37.0
RIM6,2026-04-22 19:48:00,116350.0,116350.0,116350.0,116350.0,2.0
RIM6,2026-04-22 19:49:00,116360.0,116360.0,116360.0,116360.0,1.0
RIM6,2026-04-22 19:50:00,116350.0,116350.0,116360.0,116360.0,3.0
RIM6,2026-04-22 19:51:00,116370.0,116370.0,116420.0,116420.0,46.0
RIM6,2026-04-22 19:52:00,116400.0,116400.0,116400.0,116400.0,5.0
RIM6,2026-04-22 19:53:00,116390.0,116390.0,116390.0,116390.0,1.0
RIM6,2026-04-22 19:54:00,116400.0,116400.0,116400.0,116400.0,1.0
RIM6,2026-04-22 19:55:00,116390.0,116390.0,116390.0,116390.0,1.0
RIM6,2026-04-22 19:56:00,116390.0,116390.0,116400.0,116400.0,5.0
RIM6,2026-04-22 19:57:00,116400.0,116400.0,116400.0,116400.0,4.0
RIM6,2026-04-22 19:58:00,116390.0,116390.0,116390.0,116390.0,5.0
RIM6,2026-04-22 19:59:00,116390.0,116360.0,116390.0,116360.0,37.0
RIM6,2026-04-22 20:00:00,116360.0,116350.0,116410.0,116380.0,30.0
RIM6,2026-04-22 20:01:00,116370.0,116350.0,116370.0,116350.0,15.0
RIM6,2026-04-22 20:02:00,116360.0,116350.0,116360.0,116360.0,8.0
RIM6,2026-04-22 20:03:00,116390.0,116360.0,116390.0,116370.0,6.0
RIM6,2026-04-22 20:04:00,116360.0,116340.0,116360.0,116340.0,27.0
RIM6,2026-04-22 20:05:00,116340.0,116310.0,116350.0,116350.0,21.0
RIM6,2026-04-22 20:06:00,116350.0,116350.0,116350.0,116350.0,1.0
RIM6,2026-04-22 20:07:00,116360.0,116360.0,116400.0,116400.0,4.0
RIM6,2026-04-22 20:08:00,116400.0,116400.0,116440.0,116440.0,36.0
